HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
984,704,15796,15796
985,672,15812,15812
986,672,15828,15828
987,672,15844,15844
988,704,15860,15860
989,672,15876,15876
990,672,15892,15892
991,672,15908,15908
992,704,15924,15924
993,704,15940,15940
994,704,15956,15956
995,672,15972,15972
996,672,15988,15988
997,704,16004,16004
998,704,16020,16020
999,704,16036,16036
1000,672,16052,16052
1001,704,16068,16068
1002,704,16084,16084
1003,672,16100,16100
1004,672,16116,16116
1005,704,16132,16132
1006,672,16148,16148
1007,704,16164,16164
1008,704,16180,16180
1009,704,16196,16196
1010,672,16212,16212
1011,704,16228,16228
1012,704,16244,16244
1013,704,16260,16260
1014,704,16276,16276
1015,704,16292,16292
1016,672,16308,16308
1017,704,16324,16324
1018,704,16340,16340
1019,672,16356,16356
1020,672,16372,16372
1021,672,16388,16388
1022,672,16404,16404
1023,704,16420,16420
1024,672,16436,16436
1025,704,16452,16452
1026,704,16468,16468
1027,672,16484,16484
1028,672,16500,16500
1029,704,16516,16516
1030,672,16532,16532
1031,704,16548,16548
1032,672,16564,16564
1033,672,16580,16580
1034,672,16596,16596
1035,704,16612,16612
1036,704,16628,16628
1037,800,16644,16644
1038,704,16660,16660
1039,672,16676,16676
1040,704,16692,16692
1041,704,16708,16708
1042,672,16724,16724
1043,704,16740,16740
1044,704,16756,16756
1045,704,16772,16772
1046,672,16788,16788
1047,704,16804,16804
1048,704,16820,16820
1049,704,16836,16836
1050,672,16852,16852
1051,672,16868,16868
1052,672,16884,16884
1053,704,16900,16900
1054,928,16916,16916
1055,704,16932,16932
1056,672,16948,16948
1057,704,16964,16964
1058,704,16980,16980
1059,704,16996,16996
1060,672,17012,17012
1061,704,17028,17028
1062,672,17044,17044
1063,704,17060,17060
1064,672,17076,17076
1065,704,17092,17092
1066,704,17108,17108
1067,672,17124,17124
1068,704,17140,17140
1069,672,17156,17156
1070,672,17172,17172
1071,704,17188,17188
1072,704,17204,17204
1073,704,17220,17220
1074,672,17236,17236
1075,672,17252,17252
1076,672,17268,17268
1077,672,17284,17284
1078,704,17300,17300
1079,704,17316,17316
1080,672,17332,17332
1081,704,17348,17348
1082,832,17364,17364
1083,672,17380,17380
1084,672,17396,17396
1085,704,17412,17412
1086,672,17428,17428
1087,672,17444,17444
1088,704,17460,17460
1089,672,17476,17476
1090,736,17492,17492
1091,672,17508,17508
1092,672,17524,17524
1093,704,17540,17540
1094,672,17556,17556
1095,672,17572,17572
1096,704,17588,17588
1097,704,17604,17604
1098,704,17620,17620
1099,672,17636,17636
1100,704,17652,17652
1101,672,17668,17668
1102,768,17684,17684
1103,704,17700,17700
1104,672,17716,17716
1105,672,17732,17732
1106,704,17748,17748
1107,704,17764,17764
1108,672,17780,17780
1109,704,17796,17796
1110,704,17812,17812
1111,672,17828,17828
1112,672,17844,17844
1113,672,17860,17860
1114,704,17876,17876
1115,672,17892,17892
1116,704,17908,17908
1117,704,17924,17924
1118,672,17940,17940
1119,704,17956,17956
1120,704,17972,17972
1121,672,17988,17988
1122,704,18004,18004
1123,672,18020,18020
1124,672,18036,18036
1125,704,18052,18052
1126,736,18068,18068
1127,672,18084,18084
1128,672,18100,18100
1129,672,18116,18116
1130,704,18132,18132
1131,704,18148,18148
1132,672,18164,18164
1133,672,18180,18180
1134,704,18196,18196
1135,672,18212,18212
1136,672,18228,18228
1137,704,18244,18244
1138,672,18260,18260
1139,704,18276,18276
1140,704,18292,18292
1141,704,18308,18308
1142,736,18324,18324
1143,736,18340,18340
1144,672,18356,18356
1145,672,18372,18372
1146,672,18388,18388
1147,736,18404,18404
1148,704,18420,18420
1149,768,18436,18436
1150,704,18452,18452
